Category,Film,Sum of IMDB,Runtime
Animation,Away,6.6,1899-12-30 01:16:00
Animation,Corpse Bride,7.3,1899-12-30 01:17:10
Animation,Ferdinand,6.7,1899-12-30 01:48:07
Animation,Finding Dory,7.3,1899-12-30 01:37:12
Animation,Frozen II,6.9,1899-12-30 01:43:00
Animation,Hotel Transylvania: Transformania,6.0,1899-12-30 01:28:00
Animation,Ice Age: Continental Drift,6.5,1899-12-30 01:27:49
Animation,Ice Age: Dawn Of The Dinosaurs,6.9,1899-12-30 01:34:08
Animation,Ice Age: The Meltdown,6.8,1899-12-30 01:30:41
Animation,Incredibles 2,7.6,1899-12-30 01:58:00
Animation,Isle of Dogs,7.8,1899-12-30 01:40:43
Animation,Kingsglaive: Final Fantasy XV,6.7,1899-12-30 01:55:23
Animation,Legend Of The Guardians: The Owls Of,6.9,1899-12-30 01:36:50
Animation,Lego Dc Comics Super Heroes,6.3,1899-12-30 01:12:00
Animation,Luca,7.4,1899-12-30 01:35:21
Animation,Mary And The Witchs Flower,6.8,1899-12-30 01:43:09
Animation,Minions: The Rise of Gru,6.5,1899-12-30 01:27:28
Animation,Polar Express,6.6,1899-12-30 01:39:51
Animation,Raya and the Last Dragon,7.3,1899-12-30 01:47:35
Animation,Rio,6.9,1899-12-30 01:35:33
Animation,Ron's Gone Wrong,7.0,1899-12-30 01:46:51
Animation,Scooby-Doo! And The Legend Of The,6.6,1899-12-30 01:12:14
Animation,Sing,7.1,1899-12-30 01:47:58
Animation,Sing 2,7.4,1899-12-30 01:49:57
Animation,Smallfoot,6.8,1899-12-30 01:36:21
Animation,Space Jam,6.5,1899-12-30 01:27:22
Animation,Spider Man: Across the Spider-Verse,8.8,1899-12-30 02:20:00
Animation,Spider-Man: Into The Spider-Verse,8.4,1899-12-30 01:56:52
Animation,Spies in Disguise,6.8,1899-12-30 01:41:51
Animation,Storks,7.0,1899-12-30 01:27:00
Animation,TAZ: Quest for Burger,6.1,1899-12-30 01:15:00
Animation,The Amazing Maurice,6.2,1899-12-30 01:33:17
Animation,The Bob's Burgers Movie,6.9,1899-12-30 01:42:00
Animation,The Lego Batman Movie,7.6,1899-12-30 01:44:00
Animation,The Lego Movie,7.8,1899-12-30 01:41:00
Animation,The Lego Movie 2: The Second Part,6.9,1899-12-30 01:47:16
Animation,The Lion King,6.9,1899-12-30 01:58:00
Animation,Tom & Jerry,5.3,1899-12-30 01:41:08
Animation,Toy Story 2,7.9,1899-12-30 01:32:36
Animation,Toy Story 3,8.3,1899-12-30 01:42:40
Animation,Toy Story 4,7.8,1899-12-30 01:40:00
Animation,Turning Red,7.0,1899-12-30 01:39:46
Animation,Vivo,6.7,1899-12-30 01:36:00
Animation,Wolfwalkers,8.0,1899-12-30 01:43:22
Award Winners,Avatar,7.8,1899-12-30 02:41:45
Award Winners,Black Panther,7.3,1899-12-30 02:14:00
Award Winners,Black Panther: Wakanda Forever,6.7,1899-12-30 02:41:18
Award Winners,Blade Runner 2049,8.4,1899-12-30 02:36:12
Award Winners,Dune,8.2,1899-12-30 02:35:30
Award Winners,Dunkirk,8.4,1899-12-30 01:46:31
Award Winners,Encanto,7.2,1899-12-30 01:42:11
Award Winners,Fantastic Beasts and Where to Find Them,7.7,1899-12-30 02:07:58
Award Winners,Finding Neverland,7.6,1899-12-30 01:41:08
Award Winners,Ford v Ferrari,8.3,1899-12-30 02:32:09
Award Winners,Good Will Hunting,8.3,1899-12-30 02:04:35
Award Winners,Gravity,7.7,1899-12-30 01:31:00
Award Winners,Interstellar,8.6,1899-12-30 02:49:11
Award Winners,Joker,8.7,1899-12-30 02:01:38
Award Winners,King Richard,7.6,1899-12-30 02:24:43
Award Winners,La La Land,8.0,1899-12-30 02:07:14
Award Winners,Little Women,8.1,1899-12-30 02:16:46
Award Winners,Nomadland,7.3,1899-12-30 01:47:42
Award Winners,Once Upon A Time In Hollywood,8.1,1899-12-30 02:41:25
Award Winners,Pirates Of The Caribbean: Dead Man's,7.3,1899-12-30 02:31:00
Award Winners,Soul,8.1,1899-12-30 01:40:38
Award Winners,Suicide Squad,6.6,1899-12-30 02:03:00
Award Winners,Summer of Soul,8.0,1899-12-30 01:57:44
Award Winners,The Curious Case Of Benjamin Button,7.8,1899-12-30 02:41:56
Award Winners,The Grand Budapest Hotel,8.1,1899-12-30 01:39:47
Award Winners,The Great Gatsby,7.2,1899-12-30 02:14:14
Award Winners,The Matrix,8.7,1899-12-30 02:16:05
Award Winners,The Revenant,8.1,1899-12-30 02:35:28
Award Winners,The Shawshank Redemption,9.3,1899-12-30 01:59:50
Award Winners,Top Gun: Maverick,8.6,1899-12-30 02:10:19
Award Winners,Toy Story 4,7.8,1899-12-30 01:40:00
Award Winners,Up,8.3,1899-12-30 01:36:18
Best Series,2 Fast 2 Furious,5.9,1899-12-30 01:45:00
Best Series,A Good Day to Die Hard,5.2,1899-12-30 01:38:00
Best Series,Ant-Man,7.3,1899-12-30 01:56:38
Best Series,Ant-Man and the Wasp,7.1,1899-12-30 01:58:00
Best Series,Avengers: Age of Ultron,7.3,1899-12-30 02:13:22
Best Series,Avengers: Endgame,8.4,1899-12-30 03:01:00
Best Series,Avengers: Infinity War,8.5,1899-12-30 02:26:45
Best Series,Black Panther,7.3,1899-12-30 02:14:00
Best Series,Black Panther: Wakanda Forever,6.7,1899-12-30 02:41:18
Best Series,Black Widow,6.7,1899-12-30 02:13:17
Best Series,Bumblebee,6.7,1899-12-30 01:53:46
Best Series,Captain America: Civil War,7.8,1899-12-30 02:26:32
Best Series,Captain America: The Winter Soldier,7.8,1899-12-30 02:09:50
Best Series,Captain Marvel,6.9,1899-12-30 02:03:00
Best Series,Dawn of the Planet of the Apes,7.6,1899-12-30 02:09:32
Best Series,Die Hard,8.2,1899-12-30 02:00:23
Best Series,Doctor Strange,7.5,1899-12-30 01:54:24
Best Series,Doctor Strange in the Multiverse of,6.9,1899-12-30 02:06:33
Best Series,Eternals,6.3,1899-12-30 02:34:45
Best Series,Fast & Furious,6.6,1899-12-30 01:46:00
Best Series,Fast & Furious 6,7.0,1899-12-30 02:10:00
Best Series,Fast & Furious Presents: Hobbs & Shaw,6.4,1899-12-30 02:17:00
Best Series,Fast Five,7.3,1899-12-30 02:09:00
Best Series,Fast X,5.8,1899-12-30 02:21:00
Best Series,Furious 7,7.1,1899-12-30 02:17:00
Best Series,Harry Potter And The Chamber Of Secrets,7.4,1899-12-30 02:40:55
Best Series,Harry Potter And The Deathly Hallows -,7.7,1899-12-30 02:20:12
Best Series,Harry Potter And The Deathly Hallows:,8.1,1899-12-30 02:03:38
Best Series,Harry Potter And The Goblet Of Fire,7.7,1899-12-30 02:24:17
Best Series,Harry Potter And The Half-Blood Prince,7.6,1899-12-30 02:27:36
Best Series,Harry Potter And The Order Of The,7.5,1899-12-30 02:09:46
Best Series,Harry Potter And The Prisoner Of Azkaban,7.9,1899-12-30 02:21:38
Best Series,Harry Potter And The Sorcerer's Stone,7.6,1899-12-30 02:32:19
Best Series,Home Alone,7.7,1899-12-30 01:42:25
Best Series,Home Alone 2: Lost in New York,6.8,1899-12-30 02:00:05
Best Series,Ice Age: Continental Drift,6.5,1899-12-30 01:27:49
Best Series,Ice Age: Dawn Of The Dinosaurs,6.9,1899-12-30 01:34:08
Best Series,Ice Age: The Meltdown,6.8,1899-12-30 01:30:41
Best Series,Jurassic Park,8.1,1899-12-30 02:06:35
Best Series,Jurassic Park III,5.9,1899-12-30 01:32:12
Best Series,Jurassic World,7.0,1899-12-30 02:04:00
Best Series,Jurassic World Dominion,5.6,1899-12-30 02:26:02
Best Series,Jurassic World: Fallen Kingdom,6.2,1899-12-30 02:08:00
Best Series,Lethal Weapon 1,7.6,1899-12-30 01:46:51
Best Series,Lethal Weapon 2,7.2,1899-12-30 01:44:00
Best Series,Lethal Weapon 3,6.7,1899-12-30 01:57:13
Best Series,Lethal Weapon 4,6.6,1899-12-30 01:57:26
Best Series,Live Free Or Die Hard,7.1,1899-12-30 02:07:00
Best Series,Lord Of The Rings: Fellowship Of The Ring,8.8,1899-12-30 02:58:43
Best Series,Lord Of The Rings: The Return Of The King,8.9,1899-12-30 03:20:59
Best Series,Lord Of The Rings: The Two Towers,8.7,1899-12-30 02:59:32
Best Series,Man of Steel,7.1,1899-12-30 02:16:19
Best Series,Ocean's Eleven,7.8,1899-12-30 01:56:38
